name,jibun_Address,road_Address,postcode
처갓집양념치킨관저1점,대전 서구 관저동 1752 봉우타워,대전 서구 도안남로 148(관저동),35363
진성아구찜,대전 서구 갈마동 427-11,대전 서구 신갈마로 81(갈마동),35280
성가일식,대전 서구 만년동 200,대전 서구 만년남로3번길 59(만년동),35200
역전할머니맥주,대전 서구 갈마동 1126,대전 서구 갈마중로50번길 22(갈마동),35272
논두렁밭두렁식당,대전 서구 둔산동 1894,대전 서구 문정로170번길 5(둔산동),35250
정통집 배재대점,대전 서구 도마동 26-28,대전 서구 도마로9번길 4(도마동),35329
엘리먼트랩,대전 서구 탄방동 762,대전 서구 계룡로553번안길 49(탄방동),35263
킴스부대찌개,대전 서구 둔산동 1207,대전 서구 둔산로74번길 19(둔산동),35234
행원다정식당,대전 서구 정림동 687,대전 서구 정림서로 136(정림동),35398
삼부자김치찌개,대전 서구 탄방동 756,대전 서구 계룡로553번안길 69(탄방동),35263
토종순대마을,대전 서구 괴정동 95-23,대전 서구 도솔로305번길 2(괴정동),35293
매거진,대전 서구 둔산동 1391 서림빌딩,대전 서구 둔산로137번길 44(둔산동),35240
전주전집,대전 서구 탄방동 1006,대전 서구 탄방로7번길 89(탄방동),35255
"루체카페, 편의점",대전 서구 장안동 292-1,대전 서구 장안로 446(장안동),35428
송가네칼국시,대전 서구 둔산동 1184,대전 서구 둔산남로9번길 89(둔산동),35234
